X,Y,OCC_YEAR,OCC_MONTH,HOOD_158,NEIGHBOURHOOD_158
-79.39392521,43.64273279,2006,December,165,Harbourfront-CityPlace
-79.19713229,43.7967633100001,2006,December,144,Morningside Heights
-79.35833029,43.66258988,2006,December,72,Regent Park
-79.4273711399999,43.6389542900001,2006,December,85,South Parkdale
-79.573471,43.7257443500001,2006,December,4,Rexdale-Kipling
-79.51937902,43.76449275,2006,December,24,Black Creek
-79.22821663,43.7999873700001,2007,January,145,Malvern West
-79.3231965799999,43.7119442800001,2007,January,44,Flemingdon Park
-79.51457615,43.69952521,2007,January,113,Weston
-79.26697259,43.7807775100001,2007,January,128,Agincourt South-Malvern West
-79.47716257,43.6781535900001,2007,January,111,Rockcliffe-Smythe
-79.22790402,43.7224311300001,2007,February,123,Cliffcrest
-79.3689964,43.6439325000001,2007,February,166,St Lawrence-East Bayfront-The Islands
-79.51320032,43.72550965,2007,February,154,Oakdale-Beverley Heights
-79.5556868,43.64151474,2007,February,158,Islington
-79.29146059,43.7269901400001,2007,March,120,Clairlea-Birchmount
-79.5483688699999,43.7487717000001,2007,March,22,Humbermede
-79.4408411799999,43.69264824,2007,March,107,Oakwood Village
-79.4149291099999,43.77990278,2007,March,151,Yonge-Doris
-79.51668932,43.7518500300001,2007,April,25,Glenfield-Jane Heights
-79.36867061,43.66784239,2007,April,71,Cabbagetown-South St.James Town
-79.58664758,43.75268118,2007,April,2,Mount Olive-Silverstone-Jamestown
-79.22839199,43.7606248800001,2007,April,142,Woburn North
-79.44053044,43.7551159000001,2007,April,34,Bathurst Manor
-79.35443287,43.66501487,2007,April,68,North Riverdale
-79.2632869299999,43.7333291800001,2007,April,124,Kennedy Park
-79.5276780299999,43.7166885600001,2007,April,154,Oakdale-Beverley Heights
-79.35074707,43.6777879800001,2007,April,67,Playter Estates-Danforth
-79.38678443,43.67022021,2007,April,167,Church-Wellesley
-79.2049723499999,43.7825951300001,2007,May,135,Morningside
-79.17949528,43.8042729200001,2007,May,143,West Rouge
-79.5517987699999,43.7268739200001,2007,May,5,Elms-Old Rexdale
-79.38887553,43.7086478200001,2007,May,99,Mount Pleasant East
-79.40130813,43.64966681,2007,May,78,Kensington-Chinatown
-79.5401287999999,43.74178779,2007,May,22,Humbermede
-79.3495637,43.75179123,2007,May,42,Banbury-Don Mills
-79.3627367999999,43.6515623700001,2007,May,73,Moss Park
-79.3974341699999,43.6530740200001,2007,May,78,Kensington-Chinatown
-79.31870381,43.75991896,2007,June,150,Fenside-Parkwoods
-79.57830605,43.7354983700001,2007,June,3,Thistletown-Beaumond Heights
-79.45926909,43.6892762800001,2007,June,109,Caledonia-Fairbank
-79.21791762,43.8228643200001,2007,June,144,Morningside Heights
-79.21791762,43.8228643200001,2007,June,144,Morningside Heights
-79.36601253,43.6594348400001,2007,June,72,Regent Park
-79.44785913,43.72058451,2007,July,31,Yorkdale-Glen Park
-79.15384764,43.7976406500001,2007,July,143,West Rouge
-79.15384764,43.7976406500001,2007,July,143,West Rouge
-79.19473833,43.7620081200001,2007,July,136,West Hill
-79.2307976499999,43.7802622,2007,July,142,Woburn North
-79.44029935,43.6923317800001,2007,July,107,Oakwood Village
-79.5049827299999,43.7413953700001,2007,July,25,Glenfield-Jane Heights
-79.37510285,43.67049415,2007,July,74,North St.James Town
-79.38868029,43.64819386,2007,July,164,Wellington Place
-79.21190638,43.8184359000001,2007,July,144,Morningside Heights
-79.4645541,43.6653982300001,2007,July,90,Junction Area
-79.23835825,43.73884696,2007,July,138,Eglinton East
-79.5935359599999,43.7337657800001,2007,July,1,West Humber-Clairville
-79.36233057,43.6629653700001,2007,August,72,Regent Park
-79.41125629,43.6457424500001,2007,August,162,West Queen West
-79.51928818,43.77026626,2007,August,24,Black Creek
-79.22911791,43.7279788600001,2007,August,123,Cliffcrest
-79.34784325,43.7025705900001,2007,August,55,Thorncliffe Park
-79.28351257,43.69406136,2007,August,121,Oakridge
-79.28339971,43.80508151,2007,August,129,Agincourt North
-79.28743475,43.7079316300001,2007,September,120,Clairlea-Birchmount
-79.44151246,43.6830462200001,2007,September,107,Oakwood Village
-79.27978261,43.74851735,2007,September,126,Dorset Park
-79.50482849,43.70663913,2007,September,28,Rustic
-79.38248706,43.65990664,2007,September,168,Downtown Yonge East
-79.3446466199999,43.76463197,2007,September,150,Fenside-Parkwoods
-79.5170711599999,43.75484813,2007,September,25,Glenfield-Jane Heights
-79.48963037,43.7363552900001,2007,October,155,Downsview
-79.4909339599999,43.67124454,2007,October,111,Rockcliffe-Smythe
-79.43128942,43.68052032,2007,October,94,Wychwood
-79.5113870599999,43.75012851,2007,October,25,Glenfield-Jane Heights
-79.31014981,43.7570177600001,2007,October,119,Wexford/Maryvale
-79.3603779699999,43.8095041500001,2007,October,48,Hillcrest Village
-79.35227629,43.6658777600001,2007,October,68,North Riverdale
-79.53055002,43.6467671500001,2007,October,159,Etobicoke City Centre
-79.51568116,43.74914154,2007,November,25,Glenfield-Jane Heights
-79.36694949,43.65649381,2007,November,73,Moss Park
-79.3089512299999,43.7105189100001,2007,November,54,O'Connor-Parkview
-79.29934459,43.7835887100001,2007,November,118,Tam O'Shanter-Sullivan
-79.2349281899999,43.79465607,2007,November,145,Malvern West
-79.51476374,43.76720514,2007,November,24,Black Creek
-79.19621683,43.7866207000001,2007,November,135,Morningside
-79.25388925,43.77519892,2007,December,156,Bendale-Glen Andrew
-79.21243507,43.81207513,2007,December,146,Malvern East
-79.21101573,43.8179017,2007,December,144,Morningside Heights
-79.3595016099999,43.65829519,2007,December,72,Regent Park
-79.58664758,43.75268118,2007,December,2,Mount Olive-Silverstone-Jamestown
-79.58664758,43.75268118,2007,December,2,Mount Olive-Silverstone-Jamestown
-79.31700399,43.70893849,2008,January,54,O'Connor-Parkview
-79.38580431,43.66919161,2008,January,167,Church-Wellesley
-79.34945465,43.66614488,2008,January,70,South Riverdale
-79.5096034599999,43.7248876100001,2008,January,154,Oakdale-Beverley Heights
