EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,PRIMARY_OFFENCE,REPORT_YEAR,REPORT_MONTH
GO-20149002607,163,Fort York-Liberty Village,-79.414041174,43.6389002020001,THEFT UNDER,2014,April
GO-20149002612,164,Wellington Place,-79.3907926369999,43.649125182,THEFT UNDER,2014,April
GO-20149002617,168,Downtown Yonge East,-79.381744999,43.659595503,THEFT UNDER,2014,April
GO-20149002636,168,Downtown Yonge East,-79.381222139,43.657031735,THEFT UNDER,2014,April
GO-20141850531,73,Moss Park,-79.369311123,43.6581753580001,THEFT UNDER,2014,April
GO-20141852381,167,Church-Wellesley,-79.383106732,43.661365624,THEFT UNDER,2014,April
GO-20149002631,168,Downtown Yonge East,-79.376756588,43.657098127,THEFT UNDER,2014,April
GO-20149002656,83,Dufferin Grove,-79.438577682,43.657579545,THEFT UNDER,2014,April
GO-20149002669,170,Yonge-Bay Corridor,-79.384857612,43.6545410250001,THEFT UNDER,2014,April
GO-20141856259,167,Church-Wellesley,-79.383106732,43.661365624,THEFT UNDER,2014,April
GO-20141858170,171,Junction-Wallace Emerson,-79.439171385,43.6590919830001,FRAUD UNDER,2014,April
GO-20141859602,80,Palmerston-Little Italy,-79.428568548,43.660874171,THEFT UNDER,2014,April
GO-20149002654,165,Harbourfront-CityPlace,-79.38272134,43.639499205,THEFT UNDER,2014,April
GO-20141858506,85,South Parkdale,-79.437893176,43.63485167,THEFT UNDER,2014,April
GO-20141866845,78,Kensington-Chinatown,-79.39897691,43.6570401020001,THEFT UNDER,2014,April
GO-20141863966,165,Harbourfront-CityPlace,-79.395624471,43.639939488,THEFT UNDER,2014,April
GO-20141869595,174,South Eglinton-Davisville,-79.395017465,43.6958342780001,THEFT UNDER,2014,April
GO-20141871876,107,Oakwood Village,-79.442158207,43.6957777800001,THEFT UNDER,2014,April
GO-20149002779,58,Old East York,-79.3419395339999,43.6918097610001,THEFT UNDER,2014,April
GO-20141873517,98,Rosedale-Moore Park,-79.387580396,43.672156285,THEFT UNDER,2014,April
GO-20149002783,168,Downtown Yonge East,-79.37887459,43.656140072,THEFT UNDER,2014,April
GO-20141870591,170,Yonge-Bay Corridor,-79.381714613,43.651887581,THEFT UNDER,2014,April
GO-20149002761,143,West Rouge,-79.1301125529999,43.781028866,THEFT UNDER,2014,April
GO-20149002771,167,Church-Wellesley,-79.3843270099999,43.6690129850001,THEFT UNDER,2014,April
GO-20141871654,164,Wellington Place,-79.395043188,43.6454643180001,THEFT UNDER,2014,April
GO-20141878781,170,Yonge-Bay Corridor,-79.384412211,43.6573016070001,THEFT UNDER,2014,April
GO-20149002760,56,Leaside-Bennington,-79.369294472,43.7116701350001,THEFT UNDER,2014,April
GO-20149002789,27,York University Heights,-79.491689031,43.7572238550001,THEFT UNDER,2014,April
GO-20149002787,170,Yonge-Bay Corridor,-79.3894857459999,43.6575233770001,THEFT UNDER,2014,April
GO-20149002796,169,Bay-Cloverhill,-79.38823094,43.6683006420001,THEFT UNDER,2014,April
GO-20141877361,108,Briar Hill-Belgravia,-79.4536882,43.6973054630001,THEFT UNDER,2014,April
GO-20141885414,55,Thorncliffe Park,-79.363522824,43.710353872,THEFT UNDER - SHOPLIFTING,2014,April
GO-20149002816,94,Wychwood,-79.43299868,43.6784073800001,THEFT UNDER,2014,April
GO-20149002814,162,West Queen West,-79.4126568789999,43.6450270600001,THEFT UNDER,2014,April
GO-20149002826,78,Kensington-Chinatown,-79.3933092899999,43.658728583,THEFT UNDER,2014,April
GO-20141878098,159,Etobicoke City Centre,-79.529549607,43.6438792710001,THEFT UNDER,2014,April
GO-20141888591,81,Trinity-Bellwoods,-79.419316109,43.6473956080001,THEFT UNDER,2014,April
GO-20141889465,78,Kensington-Chinatown,-79.3933092899999,43.658728583,THEFT UNDER,2014,April
GO-20141889615,78,Kensington-Chinatown,-79.3933092899999,43.658728583,THEFT UNDER,2014,April
GO-20149002830,83,Dufferin Grove,-79.430277288,43.658622746,THEFT UNDER,2014,April
GO-20149002850,168,Downtown Yonge East,-79.377038746,43.660169153,THEFT UNDER,2014,April
GO-20149002853,83,Dufferin Grove,-79.430277288,43.658622746,THEFT UNDER,2014,April
GO-20149002858,170,Yonge-Bay Corridor,-79.379131338,43.6459808610001,THEFT UNDER,2014,April
GO-20141894745,81,Trinity-Bellwoods,-79.420778484,43.6493278940001,THEFT UNDER,2014,April
GO-20141894951,166,St Lawrence-East Bayfront-The Islands,-79.3712164419999,43.6469727400001,THEFT OVER,2014,April
GO-20141895846,72,Regent Park,-79.367031915,43.6619441880001,THEFT UNDER,2014,April
GO-20149002867,165,Harbourfront-CityPlace,-79.3909224989999,43.6423086990001,THEFT UNDER,2014,April
GO-20141896501,98,Rosedale-Moore Park,-79.394138347,43.6880768890001,THEFT OVER,2014,April
GO-20149002873,73,Moss Park,-79.368003383,43.65362844,THEFT UNDER,2014,April
GO-20141894433,98,Rosedale-Moore Park,-79.376850658,43.672352376,THEFT UNDER,2014,April
GO-20141904302,78,Kensington-Chinatown,-79.399556882,43.6493779840001,THEFT UNDER,2014,April
