EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141433802,165,Harbourfront-CityPlace,-79.3850178559999,43.6447694080001,2014,January,Theft Over,Theft Over
GO-20141436885,164,Wellington Place,-79.391790855,43.6447423450001,2014,January,Theft Over,Theft Over
GO-20141444562,87,High Park-Swansea,-79.4732730279999,43.650343868,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-20141442432,168,Downtown Yonge East,-79.375715999,43.649634232,2014,January,Theft From Motor Vehicle Over,Theft Over
GO-2014141431694,87,High Park-Swansea,-79.4513064989999,43.6393337490001,2014,February,Theft Over,Theft Over
GO-20141448551,35,Westminster-Branson,-79.4487313939999,43.7854992630001,2014,February,Theft Over,Theft Over
GO-20141456726,120,Clairlea-Birchmount,-79.2872745189999,43.7269310990001,2014,February,Theft Over,Theft Over
GO-20141455610,73,Moss Park,-79.369123869,43.663526942,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141456831,143,West Rouge,-79.175702611,43.8014002780001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141454869,72,Regent Park,-79.364769756,43.6604417120001,2014,February,Theft Over,Theft Over
GO-20141523716,47,Don Valley Village,-79.3437191359999,43.775828505,2014,February,Theft Over,Theft Over
GO-20141641161,145,Malvern West,-79.2323487579999,43.815244835,2014,February,Theft Over - Shoplifting,Theft Over
GO-20141468311,73,Moss Park,-79.368634367,43.652142258,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141470964,119,Wexford/Maryvale,-79.299753632,43.763778943,2014,February,Theft Over,Theft Over
GO-20141467838,136,West Hill,-79.194409806,43.761332908,2014,February,Theft - Misapprop Funds Over,Theft Over
GO-20141475975,128,Agincourt South-Malvern West,-79.2859254689999,43.792367606,2014,February,Theft Over,Theft Over
GO-20141472601,1,West Humber-Clairville,-79.601734044,43.718436635,2014,February,Theft Over,Theft Over
GO-20141482008,130,Milliken,-79.247003346,43.8220643700001,2014,February,Theft Over,Theft Over
GO-20141479482,54,O'Connor-Parkview,-79.316418356,43.70493215,2014,February,Theft From Mail / Bag / Key,Theft Over
GO-20141482765,170,Yonge-Bay Corridor,-79.383590547,43.658303534,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141487437,55,Thorncliffe Park,-79.3427768179999,43.705543649,2014,February,Theft Over - Shoplifting,Theft Over
GO-20141486113,27,York University Heights,-79.4750768119999,43.7572122540001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141486298,170,Yonge-Bay Corridor,-79.382637841,43.6529642850001,2014,February,Theft Over,Theft Over
GO-20141487056,170,Yonge-Bay Corridor,-79.380577495,43.646414592,2014,February,Theft From Mail / Bag / Key,Theft Over
GO-20141484867,25,Glenfield-Jane Heights,-79.5188698859999,43.7385742770001,2014,February,Theft Over,Theft Over
GO-20141494694,33,Clanton Park,-79.440089609,43.74049474,2014,February,Theft Over,Theft Over
GO-20141492599,169,Bay-Cloverhill,-79.387709195,43.6692089690001,2014,February,Theft Over,Theft Over
GO-20141492300,40,St.Andrew-Windfields,-79.3612663759999,43.7587148480001,2014,February,Theft Over,Theft Over
GO-20141498920,55,Thorncliffe Park,-79.341597602,43.7044999460001,2014,February,Theft Over,Theft Over
GO-20141505704,130,Milliken,-79.2565133969999,43.8353776070001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141513111,134,Highland Creek,-79.183963126,43.7845019170001,2014,February,Theft Over,Theft Over
GO-20141513734,94,Wychwood,-79.430830788,43.674356152,2014,February,Theft Over,Theft Over
GO-20141514830,159,Etobicoke City Centre,-79.5463392089999,43.6234586630001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141515313,59,Danforth East York,-79.319911697,43.695876399,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141514640,130,Milliken,-79.252721364,43.823044963,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141516921,42,Banbury-Don Mills,-79.346245755,43.7478316580001,2014,February,Theft Over,Theft Over
GO-20141521227,1,West Humber-Clairville,-79.583818783,43.684813773,2014,February,Theft Over,Theft Over
GO-20141525032,108,Briar Hill-Belgravia,-79.449818974,43.699061445,2014,February,Theft From Mail / Bag / Key,Theft Over
GO-20141521717,18,New Toronto,-79.52445419,43.60182016,2014,February,Theft Over,Theft Over
GO-20141527859,1,West Humber-Clairville,-79.634932135,43.747430814,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141528527,164,Wellington Place,-79.397471837,43.6458837440001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141528073,154,Oakdale-Beverley Heights,-79.513346059,43.7219809650001,2014,February,Theft Over,Theft Over
GO-20141534507,31,Yorkdale-Glen Park,-79.456344424,43.708439377,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141533742,25,Glenfield-Jane Heights,-79.528717318,43.7534351150001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141546389,154,Oakdale-Beverley Heights,-79.5290130559999,43.723067186,2014,February,Theft Over,Theft Over
GO-20141547818,170,Yonge-Bay Corridor,-79.3799703459999,43.654056612,2014,February,Theft Over - Shoplifting,Theft Over
GO-20141550208,1,West Humber-Clairville,-79.601734044,43.718436635,2014,February,Theft Over,Theft Over
GO-20141553319,170,Yonge-Bay Corridor,-79.380671249,43.6557678830001,2014,February,Theft Over,Theft Over
GO-20141552352,42,Banbury-Don Mills,-79.340856061,43.727650252,2014,February,Theft Over,Theft Over
GO-20141561384,87,High Park-Swansea,-79.466118584,43.6452233740001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141559364,1,West Humber-Clairville,-79.5703348499999,43.6905111300001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141567545,109,Caledonia-Fairbank,-79.4499289829999,43.68748823,2014,February,Theft Over,Theft Over
GO-20141563630,98,Rosedale-Moore Park,-79.3837227229999,43.687967488,2014,February,Theft Over,Theft Over
GO-20141563527,148,East L'Amoreaux,-79.316177242,43.8011600360001,2014,February,Theft Over,Theft Over
GO-20141563619,134,Highland Creek,-79.183963126,43.7845019170001,2014,February,Theft Over,Theft Over
GO-20141565336,99,Mount Pleasant East,-79.379177993,43.7111922660001,2014,February,Theft Over - Shoplifting,Theft Over
GO-20141573896,58,Old East York,-79.344805508,43.6933321380001,2014,February,Theft Over,Theft Over
GO-20141578351,70,South Riverdale,-79.350858414,43.662574889,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141586045,83,Dufferin Grove,-79.443961685,43.6550202380001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141581210,52,Bayview Village,-79.390705679,43.7822454290001,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141583598,84,Little Portugal,-79.427309596,43.642927468,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141587443,25,Glenfield-Jane Heights,-79.529087466,43.748417079,2014,February,Theft From Motor Vehicle Over,Theft Over
GO-20141589880,78,Kensington-Chinatown,-79.396634864,43.649431071,2014,February,Theft From Motor Vehicle Over,Theft Over
