X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-79.435577597,43.641260018,9220,GO-20212393666,2021/12/16 05:00:00+00,2021/12/15 05:00:00+00,2021,December,16,350,Thursday  ,19,2021,December,15,349,Wednesday ,2,D11,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,86,Roncesvalles,86,Roncesvalles (86),-79.4355775972167,43.6412600175608
-79.3980010459999,43.6393978950001,9221,GO-20212421151,2021/12/16 05:00:00+00,2021/12/15 05:00:00+00,2021,December,16,350,Thursday  ,9,2021,December,15,349,Wednesday ,3,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.3980010461603,43.6393978954685
-79.4174281379999,43.7793640850001,9222,GO-20212431455,2021/12/17 05:00:00+00,2021/12/09 05:00:00+00,2021,December,17,351,Friday    ,17,2021,December,9,343,Thursday  ,18,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,36,Newtonbrook West,36,Newtonbrook West (36),-79.4174281381478,43.7793640852491
-79.371263966,43.7703514350001,9223,GO-20212428409,2021/12/17 05:00:00+00,2021/12/15 05:00:00+00,2021,December,17,351,Friday    ,10,2021,December,15,349,Wednesday ,21,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,52,Bayview Village,52,Bayview Village (52),-79.3712639657377,43.7703514351632
-79.311814839,43.667791155,9224,GO-20219037256,2021/12/17 05:00:00+00,2021/12/02 05:00:00+00,2021,December,17,351,Friday    ,18,2021,December,2,336,Thursday  ,7,D55,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,63,The Beaches,63,The Beaches (63),-79.3118148392256,43.6677911549017
-79.3007619269999,43.692980801,9225,GO-20212432979,2021/12/17 05:00:00+00,2021/12/17 05:00:00+00,2021,December,17,351,Friday    ,22,2021,December,17,351,Friday    ,21,D55,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,61,Taylor-Massey,61,Taylor-Massey (61),-79.3007619274978,43.6929808011468
-79.4427396899999,43.7171020480001,9226,GO-20212436864,2021/12/18 05:00:00+00,2021/12/18 05:00:00+00,2021,December,18,352,Saturday  ,15,2021,December,18,352,Saturday  ,15,D32,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,32,Englemount-Lawrence,32,Englemount-Lawrence (32),-79.4427396904814,43.7171020476948
-79.57422257,43.721497798,9227,GO-20212437382,2021/12/18 05:00:00+00,2021/12/06 05:00:00+00,2021,December,18,352,Saturday  ,16,2021,December,6,340,Monday    ,1,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5742225701283,43.7214977980832
-79.535181682,43.614605284,9228,GO-20212441649,2021/12/19 05:00:00+00,2021/12/18 05:00:00+00,2021,December,19,353,Sunday    ,10,2021,December,18,352,Saturday  ,22,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,20,Alderwood,20,Alderwood (20),-79.5351816817992,43.6146052841515
-79.501807315,43.6981348640001,9229,GO-20212444389,2021/12/19 05:00:00+00,2021/12/19 05:00:00+00,2021,December,19,353,Sunday    ,19,2021,December,19,353,Sunday    ,16,D12,Convenience Stores,Commercial,2130,210,Theft Over,Theft Over,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),-79.5018073145362,43.6981348641733
