EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141373658,159,Etobicoke City Centre,-79.5419901179999,43.6330440310001,2014,January,Robbery - Business,Robbery
GO-20141374477,168,Downtown Yonge East,-79.380671249,43.6557678830001,2014,January,Robbery - Mugging,Robbery
GO-20141374874,78,Kensington-Chinatown,-79.398046343,43.6529381290001,2014,January,Robbery - Other,Robbery
GO-20141374929,1,West Humber-Clairville,-79.570827876,43.6915877380001,2014,January,Robbery - Mugging,Robbery
GO-20141370852,155,Downsview,-79.4821716869999,43.7272615540001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141379262,126,Dorset Park,-79.2869226879999,43.758705026,2014,January,Robbery - Other,Robbery
GO-20141377731,25,Glenfield-Jane Heights,-79.5124828469999,43.74773351,2014,January,Robbery - Swarming,Robbery
GO-20141381394,47,Don Valley Village,-79.3437191359999,43.775828505,2014,January,Robbery - Armoured Car,Robbery
GO-20141376095,168,Downtown Yonge East,-79.375770039,43.6531624020001,2014,January,Robbery - Mugging,Robbery
GO-20141376165,129,Agincourt North,-79.262772575,43.808819257,2014,January,Robbery With Weapon,Robbery
GO-20141378892,106,Humewood-Cedarvale,-79.4255582609999,43.700986303,2014,January,Robbery - Financial Institute,Robbery
GO-20141379860,71,Cabbagetown-South St.James Town,-79.377210868,43.6635929650001,2014,January,Robbery - Other,Robbery
GO-20141384813,159,Etobicoke City Centre,-79.5190901619999,43.62263711,2014,January,Robbery - Other,Robbery
GO-20141383718,115,Mount Dennis,-79.4909130089999,43.6875651710001,2014,January,Robbery - Financial Institute,Robbery
GO-20141387103,2,Mount Olive-Silverstone-Jamestown,-79.589041191,43.7343805680001,2014,January,Robbery - Mugging,Robbery
GO-20141381904,1,West Humber-Clairville,-79.594794572,43.715551066,2014,January,Robbery - Other,Robbery
GO-20141386672,21,Humber Summit,-79.564069762,43.7561166420001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141387157,78,Kensington-Chinatown,-79.398547615,43.6486749950001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141386214,79,University,-79.398441046,43.6641032680001,2014,January,Robbery - Mugging,Robbery
GO-20141383912,166,St Lawrence-East Bayfront-The Islands,-79.381472013,43.642906624,2014,January,Robbery With Weapon,Robbery
GO-20141382434,166,St Lawrence-East Bayfront-The Islands,-79.381472013,43.642906624,2014,January,Robbery With Weapon,Robbery
GO-20141385366,120,Clairlea-Birchmount,-79.2680193159999,43.706703804,2014,January,Robbery - Other,Robbery
GO-20141385151,31,Yorkdale-Glen Park,-79.4570396509999,43.710158549,2014,January,Robbery With Weapon,Robbery
GO-20141393262,24,Black Creek,-79.514763739,43.76720514,2014,January,Robbery - Taxi,Robbery
GO-20141391884,3,Thistletown-Beaumond Heights,-79.567742212,43.742458969,2014,January,Robbery With Weapon,Robbery
GO-20141391275,2,Mount Olive-Silverstone-Jamestown,-79.589041191,43.7343805680001,2014,January,Robbery - Mugging,Robbery
GO-20141391016,138,Eglinton East,-79.2605646009999,43.7387875150001,2014,January,Robbery - Mugging,Robbery
GO-20141389970,58,Old East York,-79.3423411269999,43.692760435,2014,January,Robbery - Other,Robbery
GO-20141389890,172,Dovercourt Village,-79.4265134039999,43.6624680240001,2014,January,Robbery - Mugging,Robbery
GO-20141395235,55,Thorncliffe Park,-79.341804854,43.7032472770001,2014,January,Robbery - Other,Robbery
GO-20141393282,108,Briar Hill-Belgravia,-79.454747171,43.6967765140001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141397131,92,Corso Italia-Davenport,-79.4432127379999,43.678315092,2014,January,Robbery - Financial Institute,Robbery
GO-20141400081,154,Oakdale-Beverley Heights,-79.514145624,43.7206276570001,2014,January,Robbery - Business,Robbery
