EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH
GO-2004195761,173,North Toronto,-79.396825642,43.7070529900001,2004,February
GO-2004574277,158,Islington,-79.564076544,43.652449672,2004,July
GO-2004704991,164,Wellington Place,-79.3907926369999,43.649125182,2004,November
GO-2004750027,113,Weston,-79.533623228,43.7077789900001,2004,December
GO-2004341984,87,High Park-Swansea,-79.4819837219999,43.644094825,2004,April
GO-2004136086,28,Rustic,-79.507743315,43.717372068,2004,January
GO-2004790656,72,Regent Park,-79.364496273,43.6597560880001,2004,December
GO-2004394774,160,Mimico-Queensway,-79.492655838,43.6149740710001,2004,May
GO-2004235315,1,West Humber-Clairville,-79.619699428,43.729663949,2004,March
GO-20041053840,111,Rockcliffe-Smythe,-79.494742608,43.6739837480001,2004,June
GO-2004630187,168,Downtown Yonge East,-79.376457849,43.654823315,2004,August
GO-2004685734,150,Fenside-Parkwoods,-79.3378226249999,43.761965011,2004,October
GO-2004348492,170,Yonge-Bay Corridor,-79.387158718,43.6550175470001,2004,April
GO-2004413914,13,Etobicoke West Mall,-79.5687041909999,43.6494002490001,2004,May
GO-2004774602,88,High Park North,-79.455052983,43.6577119570001,2004,December
GO-2004170771,31,Yorkdale-Glen Park,-79.4570774329999,43.7247417290001,2004,January
GO-2004599316,113,Weston,-79.526382639,43.703490005,2004,September
GO-2004704992,148,East L'Amoreaux,-79.3051546309999,43.7971094980001,2004,November
GO-2004525248,164,Wellington Place,-79.392984266,43.6476496980001,2004,June
GO-2004823002,128,Agincourt South-Malvern West,-79.270491646,43.7871263860001,2004,December
GO-2004268947,156,Bendale-Glen Andrew,-79.263388049,43.753343204,2004,March
GO-2004629200,25,Glenfield-Jane Heights,-79.517071158,43.7548481310001,2004,August
GO-2004717029,5,Elms-Old Rexdale,-79.551669707,43.726215369,2004,August
GO-2004239294,139,Scarborough Village,-79.220325534,43.7465367930001,2004,March
GO-2004684041,92,Corso Italia-Davenport,-79.449225473,43.6813768330001,2004,October
GO-2004409444,1,West Humber-Clairville,-79.587628017,43.69144591,2004,May
GO-2004515049,136,West Hill,-79.193291643,43.7632032660001,2004,June
GO-2004608027,113,Weston,-79.5088838839999,43.696808262,2004,August
GO-2004734100,154,Oakdale-Beverley Heights,-79.508630629,43.720909181,2004,November
GO-2004457239,141,Golfdale-Cedarbrae-Woburn,-79.219762197,43.7562387290001,2004,June
GO-2004591388,113,Weston,-79.511311757,43.6983365450001,2004,May
GO-2004521591,172,Dovercourt Village,-79.423264924,43.662503766,2004,June
GO-2004252448,142,Woburn North,-79.251235154,43.779679323,2004,March
GO-2004232800,24,Black Creek,-79.514763739,43.76720514,2004,March
GO-2004200779,120,Clairlea-Birchmount,-79.286726115,43.700078187,2004,March
GO-2004218585,28,Rustic,-79.507743315,43.717372068,2004,March
GO-2004499572,154,Oakdale-Beverley Heights,-79.5132003209999,43.7255096530001,2004,July
GO-2004387646,25,Glenfield-Jane Heights,-79.5192354659999,43.752865543,2004,May
GO-2004702788,172,Dovercourt Village,-79.426097694,43.663009521,2004,August
GO-2004515430,171,Junction-Wallace Emerson,-79.4461235269999,43.66905044,2004,July
GO-2004392487,24,Black Creek,-79.518758927,43.769157185,2004,May
GO-2004255020,138,Eglinton East,-79.2316233179999,43.7447588360001,2004,March
